crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
,0.0,,0.0,,,40.0,,3.0,233.0,17.9,389.39,9.55,21.2
,0.0,9.69,0.0,,,,2.7986,,391.0,,393.29,17.6,23.1
0.03584,80.0,3.37,0.0,0.398,,17.8,6.6115,4.0,,,,4.67,23.5
,90.0,,1.0,0.401,7.923,,5.885,1.0,198.0,13.6,,3.16,50.0
0.05735,,4.49,0.0,,6.63,56.1,4.4377,3.0,247.0,18.5,,6.53,26.6
0.1029,30.0,,,0.428,,,7.0355,6.0,300.0,16.6,372.75,11.22,22.2
,,,,0.488,7.831,53.6,,3.0,193.0,17.8,392.63,4.45,50.0
,,18.1,,,,,1.9096,,666.0,20.2,,24.39,8.3
,,19.58,,,6.51,100.0,1.7659,5.0,403.0,,,,23.3
,12.5,,,,5.889,,,5.0,,,390.5,,21.7
0.06417,,,0.0,0.499,,68.2,,,279.0,19.2,,,18.9
0.77299,0.0,,0.0,0.538,6.495,,,4.0,307.0,21.0,,,18.4
1.20742,0.0,19.58,,0.605,5.875,94.6,,5.0,,14.7,292.29,14.43,17.4
3.32105,0.0,19.58,1.0,,5.403,,1.3216,,403.0,14.7,,26.82,13.4
,,,,0.693,6.404,100.0,,,666.0,20.2,,20.31,12.1
,,,0.0,0.429,6.939,34.5,8.7921,1.0,,,,,26.6
0.40771,,,1.0,,6.164,,3.048,,307.0,17.4,395.24,21.46,21.7
,,,,,,57.8,3.4952,2.0,,,357.98,,28.4
0.04337,21.0,5.64,0.0,0.439,,63.0,,,243.0,,393.97,9.43,20.5
,30.0,4.93,,0.428,6.897,,6.3361,6.0,300.0,16.6,391.25,,22.0
15.288,,18.1,0.0,0.671,6.649,,1.3449,,,20.2,,23.24,13.9
9.18702,,18.1,0.0,,,,1.5804,,666.0,,396.9,,11.3
0.06642,,4.05,0.0,0.51,,74.4,2.9153,5.0,296.0,16.6,,6.92,29.9
,0.0,,0.0,0.448,,2.9,,3.0,233.0,17.9,,,26.6
22.0511,,,0.0,0.74,,,1.8662,24.0,666.0,20.2,391.45,,10.5
5.29305,0.0,18.1,0.0,,,82.5,,24.0,666.0,20.2,,18.76,23.2
0.22969,0.0,10.59,0.0,,6.326,52.5,4.3549,,277.0,18.6,,10.97,24.4
0.06129,,3.33,1.0,,7.645,49.7,,5.0,216.0,14.9,377.07,3.01,46.0
0.04819,,3.64,0.0,,6.108,32.0,,1.0,,16.4,,,21.9
,,,0.0,,,90.8,1.8195,24.0,,,21.57,,7.5
0.06905,0.0,,0.0,,7.147,,6.0622,3.0,222.0,,,5.33,36.2
0.01538,90.0,3.75,0.0,,7.454,34.2,6.3361,3.0,,,,3.11,44.0
8.24809,0.0,18.1,,0.713,,99.3,2.4527,,666.0,20.2,375.87,16.74,17.8
0.14866,0.0,8.56,0.0,0.52,6.727,,,,,20.9,,9.42,27.5
,,6.2,0.0,,8.04,86.5,3.2157,8.0,,17.4,,,37.6
,0.0,,,,6.833,94.3,,24.0,,20.2,,,14.1
0.14052,,10.59,0.0,0.489,,,3.9454,4.0,277.0,18.6,385.81,,28.1
12.2472,0.0,,,0.584,5.837,59.7,1.9976,,,,24.65,15.69,10.2
,,19.58,,,5.88,97.3,2.3887,5.0,403.0,,348.13,,19.1
,0.0,,,,7.82,36.9,3.4952,,,,,3.57,43.8
0.03615,80.0,4.95,0.0,0.411,6.63,,5.1167,,245.0,,396.9,4.7,27.9
,0.0,10.59,,,,,3.9454,,,18.6,393.63,,25.0
,25.0,,,0.453,5.966,93.4,,8.0,,,378.08,,16.0
,0.0,6.91,0.0,0.448,,,,,,17.9,392.74,18.8,16.6
1.38799,0.0,,0.0,0.538,5.95,,3.99,,307.0,,232.6,,13.2
0.57834,,3.97,0.0,0.575,8.297,67.0,,5.0,,,,7.44,50.0
0.24103,0.0,7.38,,0.493,6.083,43.7,,5.0,287.0,,396.9,12.79,22.2
,95.0,1.47,0.0,,7.135,,,,402.0,17.0,384.3,4.45,32.9
,,,,,6.655,98.2,2.3552,24.0,,,355.29,,15.2
0.95577,,8.14,0.0,,,,,,307.0,,306.38,17.28,14.8
8.64476,,18.1,,,,,1.7912,24.0,666.0,20.2,396.9,15.17,13.8
0.537,0.0,6.2,0.0,,5.981,,,8.0,307.0,17.4,,11.65,24.3
,20.0,,0.0,0.647,,,2.1121,,,13.0,392.8,9.59,33.8
0.0459,,5.32,0.0,,,45.6,7.3172,6.0,293.0,,396.9,7.6,22.3
,0.0,19.58,1.0,0.605,,,2.0407,5.0,403.0,,,1.92,50.0
9.33889,0.0,,,0.679,,95.6,1.9682,,,20.2,,,9.5
,,,,,5.857,98.2,1.6686,,,,,21.32,13.3
0.11027,25.0,,,0.453,,67.8,,,284.0,19.7,396.9,,22.2
,,,,,,,,4.0,,,394.67,16.96,18.1
,0.0,21.89,0.0,0.624,6.431,98.8,,4.0,,21.2,,,18.0
5.73116,,,,0.532,,77.0,3.4106,,666.0,20.2,395.28,7.01,25.0
0.21124,12.5,7.87,0.0,0.524,5.631,,,,,15.2,386.63,29.93,16.5
,0.0,,0.0,,,28.9,5.4159,,287.0,,396.9,,23.0
,,,0.0,0.58,,,,24.0,666.0,,396.9,14.76,20.1
0.01951,17.5,1.38,,,,59.5,9.2229,,,,,8.05,33.0
0.04417,,2.24,,,,47.4,,,358.0,,,6.07,24.8
,0.0,8.14,0.0,0.538,6.096,84.5,,4.0,,21.0,,,18.2
,0.0,,0.0,0.871,5.272,94.0,,,,14.7,88.63,16.14,13.1
0.03359,75.0,2.95,0.0,,,15.8,5.4011,3.0,,,,1.98,34.9
17.8667,0.0,,0.0,,,100.0,1.3861,24.0,,20.2,393.74,21.78,10.2
,0.0,18.1,,0.655,,48.2,,24.0,666.0,20.2,334.4,14.13,19.9
,0.0,,0.0,0.659,5.608,100.0,,24.0,666.0,20.2,,12.13,27.9
0.0456,0.0,13.89,,0.55,5.888,,,,276.0,16.4,392.8,,23.3
0.21038,,3.33,0.0,0.4429,,,4.1007,,216.0,14.9,396.9,,35.1
9.39063,,18.1,,,5.627,93.9,,,,,396.9,22.88,12.8
0.10959,,,0.0,0.573,6.794,,2.3889,1.0,273.0,21.0,393.45,6.48,22.0
0.03041,0.0,,0.0,,5.895,59.6,,,224.0,,,,18.5
,,6.2,1.0,0.507,,76.5,4.148,8.0,,,388.45,,25.1
0.25199,0.0,,,,,,,4.0,277.0,,389.43,18.06,22.5
0.21719,0.0,10.59,1.0,0.489,5.807,53.8,,4.0,277.0,,390.94,,22.4
0.12932,0.0,13.92,0.0,,,,,4.0,,16.0,396.9,,28.6
6.65492,,,,,6.317,83.0,,,666.0,20.2,396.9,,19.5
0.21409,,5.86,0.0,,6.438,8.9,,7.0,330.0,19.1,377.07,3.59,24.8
,0.0,9.69,0.0,0.585,5.926,42.6,2.3817,,391.0,,,13.59,24.5
7.83932,0.0,18.1,0.0,,,65.4,2.9634,24.0,666.0,20.2,396.9,13.22,21.4
0.1,,,,0.433,,17.7,5.4917,7.0,,16.1,390.43,4.86,33.1
,40.0,1.25,0.0,0.429,6.49,44.4,,,335.0,19.7,396.9,5.98,22.9
0.09065,,6.96,,0.464,5.92,61.5,3.9175,,223.0,18.6,391.34,13.65,20.7
,,2.03,,,6.162,38.4,,2.0,348.0,,,7.43,24.1
1.46336,0.0,19.58,,,7.489,,1.9709,,,14.7,374.43,1.73,50.0
,0.0,,0.0,0.448,,,,,233.0,17.9,394.46,7.44,24.7
0.07013,0.0,,0.0,0.55,,,,5.0,276.0,,392.78,9.69,28.7
,0.0,,,,6.343,100.0,,,,,396.9,20.32,7.2
,45.0,,0.0,0.437,,,,5.0,398.0,15.2,,5.1,37.0
0.3494,,,0.0,0.544,5.972,76.7,3.1025,4.0,304.0,18.4,,,20.3
,,,0.0,0.647,,100.0,,5.0,,13.0,391.93,,30.1
,,,0.0,,,96.7,,5.0,384.0,20.9,,,19.5
0.04981,,5.64,,0.439,,21.4,6.8147,,243.0,,396.9,,23.4
8.15174,0.0,18.1,,0.7,5.39,98.9,1.7281,24.0,666.0,20.2,,20.85,11.5
0.02731,,7.07,,0.469,6.421,,4.9671,,242.0,17.8,396.9,9.14,21.6
,0.0,18.1,0.0,,6.341,96.4,2.072,,666.0,,,17.79,14.9
0.15086,0.0,27.74,0.0,,5.454,92.7,,,711.0,20.1,395.09,18.06,15.2
0.21977,,,0.0,,5.602,62.0,6.0877,3.0,233.0,17.9,396.9,,19.4
,0.0,,,,6.824,76.5,,,666.0,20.2,48.45,22.74,8.4
0.04113,25.0,,0.0,,6.727,33.5,5.4007,4.0,281.0,19.0,,5.29,28.0
0.13642,0.0,10.59,,0.489,5.891,,,,277.0,,,,22.6
1.61282,0.0,8.14,0.0,,6.096,96.9,,4.0,,21.0,248.31,20.34,13.5
,0.0,18.1,,0.584,6.348,,,24.0,666.0,,,,14.5
0.82526,20.0,3.97,0.0,,7.327,94.5,,5.0,264.0,,,,31.0
,0.0,,0.0,0.679,6.202,,1.8629,24.0,666.0,20.2,18.82,,10.9
3.69695,0.0,18.1,,,,,1.7523,24.0,666.0,,316.03,14.0,21.9
